test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,12,0.995,1.072,0.777,0.429,1,1.069,0.798,0.41,0.999,1.106,0.775,6.014,0.999,1.106,0.775,5.607
4,12,1,1.075,0.776,0.642,0.993,1.072,0.762,0.552,1,1.109,0.776,7.051,1,1.109,0.776,7.088
7,12,0.993,1.073,0.767,0.736,0.998,1.077,0.762,0.693,1,1.061,0.824,3.22,1,1.062,0.817,3.164
10,12,0.966,1.066,0.738,1.06,0.999,1.072,0.762,1.104,1,1.065,0.829,3.684,1,1.068,0.826,3.781
13,12,0.961,1.065,0.731,1.309,0.978,1.068,0.741,1.117,1,1.054,0.812,4.496,1,1.06,0.816,4.401
16,12,0.967,1.066,0.714,1.501,0.981,1.068,0.728,1.433,0.998,1.062,0.796,5.316,1,1.054,0.8,5.237
test13,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,13,0.618,1.066,0.493,0.336,0.599,1.065,0.499,0.301,0.704,1.134,0.505,7.101,0.704,1.134,0.505,6.849
4,13,0.724,1.047,0.659,0.766,0.665,1.051,0.585,0.651,0.845,1.127,0.694,8.678,0.845,1.127,0.694,8.574
7,13,0.753,1.06,0.619,0.837,0.724,1.058,0.613,0.999,0.865,1.062,0.77,3.718,0.838,1.063,0.745,3.658
10,13,0.741,1.058,0.631,1.049,0.729,1.06,0.666,1.358,0.797,1.048,0.781,4.071,0.77,1.049,0.754,4.129
13,13,0.789,1.062,0.652,1.565,0.744,1.061,0.665,1.689,0.799,1.057,0.805,4.535,0.785,1.053,0.791,4.659
16,13,0.8,1.065,0.652,1.866,0.721,1.062,0.657,2.074,0.804,1.052,0.784,5.518,0.798,1.058,0.787,5.448
test14,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
