test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
7,19,0.359,0.972,0.403,0.724,0.374,0.976,0.443,0.657,0.848,1.056,0.787,2.741,0.886,1.046,0.749,2.736
10,19,0.437,0.978,0.438,0.944,0.508,0.995,0.534,0.906,0.871,1.048,0.83,2.865,0.924,1.048,0.817,2.969
13,19,0.557,1.008,0.508,1.271,0.548,1.016,0.556,1.293,0.815,1.054,0.779,3.464,0.835,1.055,0.786,3.49
16,19,0.78,1.05,0.69,1.448,0.565,1.023,0.642,1.583,0.791,1.042,0.784,3.998,0.86,1.049,0.785,4.037
test20,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,20,0.636,1.037,0.478,0.301,0.662,1.044,0.475,0.344,0.974,1.11,0.772,4.622,0.974,1.11,0.772,4.694
4,20,0.816,1.053,0.685,0.585,0.88,1.052,0.699,0.557,0.986,1.113,0.774,5.54,0.986,1.113,0.774,5.437
7,20,0.891,1.061,0.728,0.722,0.87,1.053,0.688,0.662,0.929,1.055,0.779,2.581,0.977,1.06,0.82,2.472
10,20,0.924,1.063,0.74,0.85,0.881,1.049,0.731,0.988,0.933,1.049,0.804,3.017,0.928,1.062,0.787,2.936
13,20,0.938,1.065,0.75,1.077,0.905,1.055,0.692,1.185,0.991,1.058,0.809,3.376,0.938,1.062,0.806,3.454
16,20,0.924,1.061,0.732,1.48,0.897,1.059,0.72,1.233,0.976,1.059,0.803,4.027,0.904,1.053,0.809,4.027
test21,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,21,0.876,1.062,0.685,0.331,0.882,1.06,0.668,0.299,0.937,1.113,0.715,4.788,0.937,1.113,0.715,4.612
4,21,0.901,1.065,0.694,0.464,0.877,1.058,0.689,0.477,0.996,1.111,0.773,6.697,0.996,1.111,0.773,6.602
7,21,0.909,1.064,0.694,0.623,0.88,1.055,0.662,0.662,0.998,1.061,0.82,2.538,0.997,1.064,0.833,2.448
10,21,0.912,1.061,0.685,0.868,0.885,1.058,0.653,0.9,0.99,1.057,0.818,2.93,0.99,1.061,0.816,2.826
13,21,0.888,1.061,0.649,1.101,0.844,1.053,0.618,1.089,0.983,1.062,0.807,3.497,0.991,1.054,0.815,3.36
16,21,0.892,1.061,0.671,1.576,0.902,1.059,0.662,1.605,0.996,1.061,0.806,4.078,0.984,1.058,0.811,4.81
test22,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,22,0.321,1.012,0.351,0.23,0.307,1.013,0.346,0.243,0.35,1.096,0.294,5.793,0.35,1.096,0.294,5.734
4,22,0.344,0.987,0.44,0.508,0.301,0.976,0.487,0.419,0.466,1.101,0.321,8.538,0.466,1.101,0.321,7.646
7,22,0.316,0.973,0.478,0.603,0.282,0.969,0.487,0.666,0.824,1.054,0.693,2.81,0.905,1.056,0.765,2.748
10,22,0.307,0.972,0.486,0.709,0.338,0.982,0.504,0.97,0.819,1.037,0.815,3.128,0.924,1.053,0.785,3.053
13,22,0.367,0.995,0.48,1.118,0.428,1.008,0.579,1.302,0.839,1.05,0.803,3.558,0.927,1.056,0.792,3.524
16,22,0.433,1.009,0.511,1.615,0.447,1.017,0.5,1.648,0.806,1.031,0.76,4.539,0.927,1.063,0.792,4.273
test23,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,23,0.427,1.03,0.419,0.248,0.423,1.026,0.411,0.232,0.471,1.103,0.357,5.687,0.471,1.103,0.357,5.679
4,23,0.437,0.992,0.519,0.493,0.421,0.989,0.493,0.519,0.735,1.105,0.527,7.457,0.735,1.105,0.527,7.464
7,23,0.562,1.012,0.635,0.801,0.514,1.003,0.518,0.684,0.915,1.06,0.794,2.623,0.907,1.045,0.793,2.664
10,23,0.587,1.024,0.6,0.797,0.675,1.025,0.6,0.954,0.927,1.06,0.811,2.954,0.932,1.057,0.821,2.972
13,23,0.625,1.027,0.612,1.314,0.754,1.035,0.63,1.152,0.905,1.056,0.808,3.426,0.905,1.057,0.829,3.369
16,23,0.716,1.034,0.634,1.488,0.783,1.043,0.629,1.58,0.912,1.056,0.805,3.989,0.912,1.046,0.822,4.075
test24,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,24,0.225,1.013,0.391,0.205,0.237,1.013,0.371,0.241,0.289,1.095,0.312,4.319,0.289,1.095,0.312,4.267
4,24,0.257,0.991,0.528,0.585,0.213,0.974,0.526,0.491,0.324,1.106,0.298,9.026,0.324,1.106,0.298,7.789
7,24,0.245,0.992,0.463,0.545,0.207,0.968,0.503,0.658,0.412,1.013,0.449,2.506,0.464,1.008,0.515,3.013
10,24,0.311,1,0.467,1.02,0.242,0.981,0.467,0.952,0.713,1.036,0.806,3.091,0.597,1.03,0.83,2.893
