test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 02,  06 , 0.690, 1.157, 0.659, 0.787, 0.698, 1.154, 0.717, 0.808, 0.716, 1.244, 0.662, 6.670, 0.716, 1.244, 0.662, 6.640, 1.000, 1.000, 1.000, 0.000
 03,  06 , 0.656, 1.145, 0.670, 0.600, 0.651, 1.142, 0.693, 0.947, 0.716, 1.245, 0.656, 7.648, 0.716, 1.245, 0.656, 7.270, 1.000, 1.000, 1.000, 0.000
 04,  06 , 0.642, 1.143, 0.697, 0.943, 0.656, 1.137, 0.715, 1.108, 0.721, 1.245, 0.659, 9.199, 0.721, 1.245, 0.659, 8.647, 1.000, 1.000, 1.000, 0.000
 05,  06 , 0.670, 1.139, 0.745, 0.988, 0.621, 1.105, 0.697, 1.091, 0.738, 1.239, 0.663, 10.751, 0.738, 1.239, 0.663, 9.803, 1.000, 1.000, 1.000, 0.000
 06,  06 , 0.683, 1.141, 0.716, 1.202, 0.583, 1.108, 0.643, 1.053, 0.746, 1.150, 0.794, 3.687, 0.739, 1.172, 0.749, 3.788, 1.000, 1.000, 1.000, 0.000
 07,  06 , 0.670, 1.129, 0.734, 1.296, 0.575, 1.106, 0.635, 1.440, 0.736, 1.103, 0.849, 3.964, 0.721, 1.134, 0.798, 3.883, 1.000, 1.000, 1.000, 0.000
 08,  06 , 0.648, 1.127, 0.679, 1.542, 0.581, 1.099, 0.639, 1.410, 0.707, 1.144, 0.845, 3.360, 0.729, 1.126, 0.847, 3.971, 1.000, 1.000, 1.000, 0.000
 09,  06 , 0.631, 1.119, 0.708, 1.553, 0.605, 1.101, 0.661, 1.788, 0.775, 1.133, 0.860, 4.198, 0.750, 1.127, 0.832, 3.945, 1.000, 1.000, 1.000, 0.000
 10,  06 , 0.647, 1.117, 0.683, 1.680, 0.571, 1.103, 0.637, 1.702, 0.778, 1.141, 0.885, 4.127, 0.730, 1.138, 0.860, 4.225, 1.000, 1.000, 1.000, 0.000
 11,  06 , 0.636, 1.130, 0.696, 1.705, 0.583, 1.111, 0.604, 1.892, 0.731, 1.127, 0.841, 4.351, 0.744, 1.120, 0.857, 4.218, 1.000, 1.000, 1.000, 0.000
 12,  06 , 0.663, 1.136, 0.701, 2.037, 0.612, 1.115, 0.643, 1.975, 0.740, 1.126, 0.865, 4.790, 0.758, 1.128, 0.872, 4.748, 1.000, 1.000, 1.000, 0.000
 13,  06 , 0.655, 1.137, 0.713, 2.359, 0.619, 1.120, 0.656, 1.916, 0.773, 1.149, 0.847, 4.892, 0.773, 1.147, 0.890, 4.821, 1.000, 1.000, 1.000, 0.000
 14,  06 , 0.672, 1.144, 0.730, 2.545, 0.648, 1.123, 0.669, 3.030, 0.744, 1.145, 0.865, 4.975, 0.777, 1.150, 0.892, 4.860, 1.000, 1.000, 1.000, 0.000
 15,  06 , 0.669, 1.153, 0.736, 2.657, 0.617, 1.141, 0.672, 2.730, 0.743, 1.152, 0.858, 5.222, 0.730, 1.145, 0.887, 5.360, 1.000, 1.000, 1.000, 0.000
test07
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  07 , 0.606, 1.184, 0.560, 0.652, 0.585, 1.188, 0.550, 0.596, 0.643, 1.274, 0.557, 5.979, 0.643, 1.274, 0.557, 5.669, 1.000, 1.000, 1.000, 0.000
 02,  07 , 0.624, 1.189, 0.620, 0.640, 0.591, 1.171, 0.647, 0.683, 0.667, 1.276, 0.591, 6.150, 0.667, 1.276, 0.591, 6.544, 1.000, 1.000, 1.000, 0.000
 03,  07 , 0.646, 1.187, 0.654, 0.760, 0.631, 1.163, 0.714, 0.721, 0.664, 1.280, 0.595, 7.399, 0.664, 1.280, 0.595, 6.659, 1.000, 1.000, 1.000, 0.000
 04,  07 , 0.619, 1.171, 0.656, 0.742, 0.624, 1.160, 0.705, 0.608, 0.648, 1.281, 0.580, 7.779, 0.648, 1.281, 0.580, 8.040, 1.000, 1.000, 1.000, 0.000
 05,  07 , 0.658, 1.159, 0.735, 0.901, 0.644, 1.149, 0.739, 0.586, 0.669, 1.274, 0.598, 8.617, 0.669, 1.274, 0.598, 8.600, 1.000, 1.000, 1.000, 0.000
 06,  07 , 0.688, 1.174, 0.734, 0.956, 0.652, 1.171, 0.745, 0.886, 0.732, 1.157, 0.767, 3.321, 0.695, 1.188, 0.723, 3.283, 1.000, 1.000, 1.000, 0.000
 07,  07 , 0.691, 1.173, 0.755, 1.012, 0.681, 1.168, 0.788, 1.075, 0.733, 1.159, 0.804, 3.003, 0.755, 1.154, 0.793, 3.187, 1.000, 1.000, 1.000, 0.000
 08,  07 , 0.711, 1.172, 0.753, 1.199, 0.677, 1.170, 0.746, 0.985, 0.753, 1.162, 0.821, 3.237, 0.745, 1.158, 0.824, 3.062, 1.000, 1.000, 1.000, 0.000
 09,  07 , 0.694, 1.176, 0.726, 1.209, 0.648, 1.173, 0.679, 1.107, 0.758, 1.160, 0.831, 3.225, 0.767, 1.179, 0.846, 3.174, 1.000, 1.000, 1.000, 0.000
 10,  07 , 0.676, 1.180, 0.697, 1.450, 0.668, 1.175, 0.708, 1.348, 0.776, 1.177, 0.821, 3.332, 0.793, 1.158, 0.872, 3.375, 1.000, 1.000, 1.000, 0.000
 11,  07 , 0.698, 1.180, 0.702, 1.357, 0.646, 1.176, 0.666, 1.501, 0.802, 1.180, 0.818, 3.632, 0.815, 1.157, 0.886, 3.283, 1.000, 1.000, 1.000, 0.000
 12,  07 , 0.696, 1.179, 0.729, 1.431, 0.638, 1.179, 0.647, 1.468, 0.788, 1.175, 0.818, 4.034, 0.786, 1.154, 0.865, 3.753, 1.000, 1.000, 1.000, 0.000
 13,  07 , 0.713, 1.176, 0.726, 1.748, 0.653, 1.175, 0.666, 1.922, 0.781, 1.148, 0.824, 4.037, 0.785, 1.155, 0.864, 3.850, 1.000, 1.000, 1.000, 0.000
 14,  07 , 0.742, 1.181, 0.752, 1.729, 0.666, 1.178, 0.671, 1.925, 0.774, 1.157, 0.810, 4.609, 0.809, 1.152, 0.868, 4.216, 1.000, 1.000, 1.000, 0.000
 15,  07 , 0.737, 1.189, 0.746, 2.203, 0.642, 1.187, 0.653, 2.265, 0.760, 1.158, 0.812, 4.614, 0.789, 1.166, 0.848, 4.637, 1.000, 1.000, 1.000, 0.000
test08
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  08 , 0.559, 1.205, 0.583, 0.467, 0.547, 1.206, 0.577, 0.387, 0.649, 1.309, 0.577, 5.431, 0.649, 1.309, 0.577, 5.445, 1.000, 1.000, 1.000, 0.000
 02,  08 , 0.574, 1.194, 0.600, 0.670, 0.575, 1.201, 0.600, 0.754, 0.654, 1.310, 0.583, 5.985, 0.654, 1.310, 0.583, 6.073, 1.000, 1.000, 1.000, 0.000
 03,  08 , 0.588, 1.184, 0.605, 0.691, 0.565, 1.188, 0.589, 0.664, 0.672, 1.304, 0.601, 6.831, 0.672, 1.304, 0.601, 6.904, 1.000, 1.000, 1.000, 0.000
 04,  08 , 0.609, 1.183, 0.658, 0.811, 0.585, 1.176, 0.666, 0.763, 0.703, 1.296, 0.630, 7.395, 0.703, 1.296, 0.630, 7.371, 1.000, 1.000, 1.000, 0.000
 05,  08 , 0.613, 1.181, 0.683, 0.797, 0.618, 1.175, 0.648, 0.899, 0.720, 1.295, 0.636, 8.326, 0.720, 1.295, 0.636, 9.306, 1.000, 1.000, 1.000, 0.000
 06,  08 , 0.623, 1.175, 0.678, 1.077, 0.603, 1.174, 0.679, 0.869, 0.652, 1.131, 0.737, 3.414, 0.687, 1.168, 0.777, 3.130, 1.000, 1.000, 1.000, 0.000
 07,  08 , 0.625, 1.172, 0.681, 1.042, 0.616, 1.172, 0.646, 0.986, 0.698, 1.094, 0.772, 3.529, 0.729, 1.134, 0.814, 3.418, 1.000, 1.000, 1.000, 0.000
 08,  08 , 0.620, 1.193, 0.687, 1.249, 0.598, 1.177, 0.632, 1.090, 0.724, 1.148, 0.749, 3.594, 0.545, 1.043, 0.810, 3.352, 1.000, 1.000, 1.000, 0.000
 09,  08 , 0.607, 1.201, 0.650, 1.287, 0.587, 1.183, 0.605, 1.533, 0.662, 1.155, 0.760, 4.138, 0.502, 1.014, 0.812, 3.881, 1.000, 1.000, 1.000, 0.000
 10,  08 , 0.605, 1.192, 0.655, 1.288, 0.590, 1.183, 0.621, 1.105, 0.571, 1.121, 0.781, 4.074, 0.500, 1.036, 0.812, 4.160, 1.000, 1.000, 1.000, 0.000
 11,  08 , 0.632, 1.191, 0.672, 1.558, 0.605, 1.171, 0.672, 1.615, 0.683, 1.179, 0.812, 4.207, 0.596, 1.098, 0.802, 4.318, 1.000, 1.000, 1.000, 0.000
 12,  08 , 0.610, 1.185, 0.646, 1.528, 0.605, 1.170, 0.633, 1.950, 0.746, 1.141, 0.772, 4.161, 0.646, 1.098, 0.747, 4.336, 1.000, 1.000, 1.000, 0.000
 13,  08 , 0.605, 1.178, 0.628, 1.961, 0.599, 1.160, 0.613, 1.935, 0.779, 1.077, 0.794, 4.487, 0.600, 1.142, 0.749, 4.620, 1.000, 1.000, 1.000, 0.000
 14,  08 , 0.617, 1.182, 0.623, 1.971, 0.602, 1.164, 0.615, 2.119, 0.756, 1.109, 0.785, 5.131, 0.701, 1.146, 0.770, 4.963, 1.000, 1.000, 1.000, 0.000
