test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 11,  06 , 0.739, 1.035, 0.622, 0.927, 0.751, 1.034, 0.583, 1.164, 0.990, 1.059, 0.799, 3.145, 0.981, 1.050, 0.806, 3.171
 12,  06 , 0.737, 1.040, 0.626, 1.169, 0.784, 1.040, 0.606, 1.260, 0.991, 1.061, 0.812, 3.360, 0.982, 1.056, 0.812, 3.356
 13,  06 , 0.739, 1.043, 0.609, 1.186, 0.812, 1.046, 0.628, 1.340, 0.991, 1.053, 0.812, 3.491, 0.983, 1.058, 0.800, 3.484
 14,  06 , 0.767, 1.042, 0.611, 1.471, 0.844, 1.055, 0.665, 1.353, 0.989, 1.056, 0.801, 3.785, 0.983, 1.063, 0.803, 3.775
 15,  06 , 0.776, 1.044, 0.607, 1.434, 0.846, 1.059, 0.653, 1.327, 0.990, 1.066, 0.803, 3.920, 0.984, 1.062, 0.800, 3.931
test07
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  07 , 0.729, 1.081, 0.641, 0.281, 0.731, 1.081, 0.628, 0.289, 0.795, 1.128, 0.702, 5.416, 0.795, 1.128, 0.702, 5.388
 02,  07 , 0.716, 1.074, 0.641, 0.380, 0.724, 1.074, 0.639, 0.376, 0.813, 1.132, 0.702, 5.711, 0.813, 1.132, 0.702, 5.687
 03,  07 , 0.731, 1.072, 0.632, 0.538, 0.726, 1.071, 0.656, 0.458, 0.830, 1.133, 0.706, 6.252, 0.830, 1.133, 0.706, 6.311
 04,  07 , 0.743, 1.074, 0.643, 0.488, 0.737, 1.073, 0.634, 0.491, 0.830, 1.133, 0.708, 6.752, 0.830, 1.133, 0.708, 6.829
 05,  07 , 0.710, 1.073, 0.633, 0.638, 0.719, 1.075, 0.652, 0.584, 0.804, 1.133, 0.705, 8.423, 0.804, 1.133, 0.705, 7.566
 06,  07 , 0.716, 1.074, 0.647, 0.760, 0.706, 1.072, 0.620, 0.650, 0.772, 1.042, 0.781, 2.669, 0.813, 1.081, 0.778, 2.658
 07,  07 , 0.699, 1.076, 0.624, 0.708, 0.707, 1.074, 0.594, 0.655, 0.769, 1.054, 0.752, 2.871, 0.817, 1.068, 0.774, 2.837
 08,  07 , 0.724, 1.073, 0.626, 0.927, 0.691, 1.072, 0.598, 0.857, 0.768, 1.026, 0.787, 2.960, 0.812, 1.072, 0.760, 2.933
 09,  07 , 0.703, 1.070, 0.603, 0.763, 0.693, 1.068, 0.595, 0.832, 0.796, 1.076, 0.755, 3.171, 0.796, 1.073, 0.778, 3.061
 10,  07 , 0.709, 1.073, 0.626, 0.827, 0.707, 1.071, 0.603, 1.071, 0.801, 1.073, 0.795, 3.240, 0.793, 1.077, 0.754, 3.271
 11,  07 , 0.704, 1.073, 0.594, 1.062, 0.706, 1.073, 0.598, 1.079, 0.803, 1.073, 0.759, 3.460, 0.802, 1.074, 0.774, 3.432
 12,  07 , 0.679, 1.072, 0.584, 1.087, 0.689, 1.069, 0.582, 0.975, 0.794, 1.082, 0.774, 3.543, 0.793, 1.069, 0.777, 3.742
 13,  07 , 0.656, 1.065, 0.576, 1.056, 0.687, 1.068, 0.564, 1.146, 0.810, 1.073, 0.776, 3.823, 0.830, 1.071, 0.767, 3.754
 14,  07 , 0.656, 1.071, 0.559, 1.339, 0.695, 1.068, 0.566, 1.228, 0.802, 1.067, 0.782, 4.036, 0.818, 1.056, 0.756, 3.985
 15,  07 , 0.654, 1.069, 0.554, 1.464, 0.687, 1.072, 0.572, 1.350, 0.804, 1.069, 0.746, 4.492, 0.804, 1.071, 0.770, 4.248
test08
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  08 , 0.957, 1.071, 0.737, 0.404, 0.965, 1.071, 0.754, 0.475, 0.989, 1.116, 0.771, 4.728, 0.989, 1.116, 0.771, 4.743
 02,  08 , 0.938, 1.063, 0.717, 0.373, 0.947, 1.063, 0.741, 0.504, 0.990, 1.116, 0.768, 4.902, 0.990, 1.116, 0.768, 4.899
 03,  08 , 0.921, 1.060, 0.700, 0.570, 0.932, 1.058, 0.727, 0.504, 0.991, 1.117, 0.766, 5.911, 0.991, 1.117, 0.766, 5.622
 04,  08 , 0.921, 1.058, 0.709, 0.589, 0.963, 1.070, 0.749, 0.541, 0.992, 1.115, 0.762, 6.098, 0.992, 1.115, 0.762, 6.106
 05,  08 , 0.941, 1.068, 0.722, 0.633, 0.969, 1.071, 0.747, 0.591, 0.990, 1.116, 0.759, 6.674, 0.990, 1.116, 0.759, 6.708
 06,  08 , 0.945, 1.069, 0.720, 0.587, 0.981, 1.073, 0.747, 0.690, 0.991, 1.059, 0.816, 2.446, 0.989, 1.067, 0.811, 2.508
 07,  08 , 0.941, 1.066, 0.721, 0.753, 0.971, 1.066, 0.744, 0.683, 0.992, 1.060, 0.821, 2.560, 0.992, 1.063, 0.821, 2.491
 08,  08 , 0.908, 1.059, 0.691, 0.757, 0.947, 1.063, 0.724, 0.815, 0.993, 1.059, 0.811, 2.709, 0.998, 1.053, 0.809, 2.701
 09,  08 , 0.907, 1.053, 0.688, 0.769, 0.941, 1.061, 0.714, 0.847, 0.998, 1.052, 0.810, 2.827, 0.998, 1.063, 0.814, 2.835
 10,  08 , 0.885, 1.055, 0.667, 0.877, 0.943, 1.063, 0.716, 1.036, 0.972, 1.047, 0.802, 3.054, 0.983, 1.063, 0.785, 3.004
 11,  08 , 0.895, 1.057, 0.673, 0.997, 0.938, 1.059, 0.714, 0.807, 0.990, 1.057, 0.806, 3.120, 0.990, 1.056, 0.805, 3.138
